State,Year,HS_or_higher_25-44,Bach_or_higher_25-44,MathG8Performance,MG8_at_or_above_prof,ReadingG80500,EGOV,LGOV,TGOV,REGION,,,
Louisiana,2009,86.5,24.1,272,20,253,,,,SE,,,
Maine,2009,94.0,28.6,286,35,268,,,,NE,,,
Maryland,2009,89.7,39.4,288,40,267,,,,SE,,,
Massachusetts,2009,93.9,46.3,299,52,274,,,,NE,,,
Michigan,2009,92.6,28.8,278,31,262,,,,MW,,,
Minnesota,2009,92.9,37.2,294,47,270,,,,MW,,,
Mississippi,2009,84.4,21.2,265,15,251,,,,SE,,,
Missouri,2009,90.9,29.9,286,35,267,,,,MW,,,
Montana,2009,91.5,30.4,292,44,270,,,,W,,,
Nebraska,2009,89.1,32.1,284,35,267,,,,MW,,,
Nevada,2009,81.5,21.6,274,25,254,,,,W,,,
New Hampshire,2009,94.6,36.2,292,43,271,,,,NE,,,
New Jersey,2009,90.3,39.6,293,44,273,,,,NE,,,
New Mexico,2009,84.1,22.9,270,20,254,,,,SW,,,
New York,2009,88.8,39.2,283,34,264,,,,NE,,,
North Carolina,2009,86.2,29.9,284,36,260,,,,SE,,,
North Dakota,2009,92.8,31.2,293,43,269,,,,MW,,,
Ohio,2009,93.1,29.2,286,36,269,,,,MW,,,
Oklahoma,2009,86.4,23.4,276,24,259,,,,SW,,,
Oregon,2009,88.9,30.9,285,37,265,,,,W,,,
Pennsylvania,2009,92.9,32.9,288,40,260,,,,NE,,,
Rhode Island,2009,92.8,35.3,278,28,271,,,,NE,,,
South Carolina,2009,86.7,26.4,280,30,257,,,,SE,,,
South Dakota,2009,91.7,27.9,291,42,270,,,,MW,,,
Tennessee,2009,89.2,27.2,275,25,261,,,,SE,,,
Texas,2009,81.5,26.4,287,36,260,,,,SW,,,
Utah,2009,91.5,29.5,284,35,266,,,,W,,,
Vermont,2009,93.1,35.5,293,43,272,,,,NE,,,
Virginia,2009,89.4,37.2,286,36,266,,,,SE,,,
Washington,2009,90.1,32.8,289,39,267,,,,W,,,
West Virginia,2009,88.8,20.2,270,19,255,,,,SE,,,
Wisconsin,2009,91.3,30.2,288,39,266,,,,MW,,,
Wyoming,2009,90.4,23.9,286,35,268,,,,W,,,
Puerto Rico,2009,89.1,29.0,NA,NA,NA ,,,,T,,,
United States,2010,87.2,31.2,NA,NA,NA ,D,,,N,,,
Alabama,2010,83.9,24.6,NA,NA,NA ,,,,SE,,,
Alaska,2010,91.8,24.0,NA,NA,NA ,,,,W,,,
Arizona,2010,85.2,27.2,NA,NA,NA ,,,,SW,,,
Arkansas,2010,86.0,21.7,NA,NA,NA ,,,,SE,,,
California,2010,81.4,31.2,NA,NA,NA ,,,,W,,,
Colorado,2010,89.1,37.9,NA,NA,NA ,,,,W,,,
Connecticut,2010,90.8,38.9,NA,NA,NA ,,,,NE,,,
Delaware,2010,87.6,32.2,NA,NA,NA ,,,,SE,,,
District of Columbia,2010,91.9,58.2,NA,NA,NA ,,,,SE,,,
Florida,2010,86.6,26.9,NA,NA,NA ,,,,SE,,,
Georgia,2010,86.0,30.7,NA,NA,NA ,,,,SE,,,
Hawaii,2010,92.9,31.1,NA,NA,NA ,,,,W,,,
Idaho,2010,89.9,24.6,NA,NA,NA ,,,,W,,,
Illinois,2010,88.8,35.9,NA,NA,NA ,,,,MW,,,
Indiana,2010,88.5,26.3,NA,NA,NA ,,,,MW,,,
Iowa,2010,92.3,30.7,NA,NA,NA ,,,,MW,,,
Kansas,2010,89.2,32.6,NA,NA,NA ,,,,MW,,,
Kentucky,2010,87.5,25.1,NA,NA,NA ,,,,SE,,,
Louisiana,2010,84.7,24.1,NA,NA,NA ,,,,SE,,,
Maine,2010,94.0,28.6,NA,NA,NA ,,,,NE,,,
Maryland,2010,89.5,39.4,NA,NA,NA ,,,,SE,,,
Massachusetts,2010,92.1,46.3,NA,NA,NA ,,,,NE,,,
Michigan,2010,91.0,28.8,NA,NA,NA ,,,,MW,,,
Minnesota,2010,93.2,37.2,NA,NA,NA ,,,,MW,,,
Mississippi,2010,84.2,21.2,NA,NA,NA ,,,,SE,,,
Missouri,2010,89.3,29.9,NA,NA,NA ,,,,MW,,,
Montana,2010,92.7,30.4,NA,NA,NA ,,,,W,,,
Nebraska,2010,89.9,32.1,NA,NA,NA ,,,,MW,,,
Nevada,2010,84.3,21.6,NA,NA,NA ,,,,W,,,
New Hampshire,2010,93.9,36.2,NA,NA,NA ,,,,NE,,,
New Jersey,2010,90.7,39.6,NA,NA,NA ,,,,NE,,,
New Mexico,2010,83.6,22.9,NA,NA,NA ,,,,SW,,,
New York,2010,87.5,39.2,NA,NA,NA ,,,,NE,,,
North Carolina,2010,87.1,29.9,NA,NA,NA ,,,,SE,,,
North Dakota,2010,95.0,31.2,NA,NA,NA ,,,,MW,,,
Ohio,2010,91.1,29.2,NA,NA,NA ,,,,MW,,,
Oklahoma,2010,87.8,23.4,NA,NA,NA ,,,,SW,,,
Oregon,2010,87.8,30.9,NA,NA,NA ,,,,W,,,
Pennsylvania,2010,91.7,32.9,NA,NA,NA ,,,,NE,,,
Rhode Island,2010,87.5,35.3,NA,NA,NA ,,,,NE,,,
South Carolina,2010,87.0,26.4,NA,NA,NA ,,,,SE,,,
South Dakota,2010,92.8,27.9,NA,NA,NA ,,,,MW,,,
Tennessee,2010,88.1,27.2,NA,NA,NA ,,,,SE,,,
Texas,2010,81.9,26.4,NA,NA,NA ,,,,SW,,,
Utah,2010,90.8,29.5,NA,NA,NA ,,,,W,,,
Vermont,2010,94.2,35.5,NA,NA,NA ,,,,NE,,,
Virginia,2010,89.5,37.2,NA,NA,NA ,,,,SE,,,
Washington,2010,89.5,32.8,NA,NA,NA ,,,,W,,,
West Virginia,2010,89.2,20.2,NA,NA,NA ,,,,SE,,,
Wisconsin,2010,91.5,30.2,NA,NA,NA ,,,,MW,,,
Wyoming,2010,93.3,23.9,NA,NA,NA ,,,,W,,,
Puerto Rico,2010,83.0,29.0,NA,NA,NA ,,,,T,,,
United States,2011,87.5,31.7,283,35,264,D,,,N,,,
Alabama,2011,84.8,24.7,269,20,258,,,,SE,,,
Alaska,2011,93.2,27.0,283,35,261,,,,W,,,
Arizona,2011,85.0,26.5,279,31,260,,,,SW,,,
Arkansas,2011,87.4,23.0,279,29,259,,,,SE,,,
California,2011,82.2,31.5,272,25,255,,,,W,,,
Colorado,2011,89.8,38.5,292,43,271,,,,W,,,
Connecticut,2011,91.1,40.0,287,38,275,,,,NE,,,
Delaware,2011,88.1,32.3,283,32,266,,,,SE,,,
District of Columbia,2011,90.7,63.4,260,17,242,,,,SE,,,
Florida,2011,87.4,27.2,278,28,262,,,,SE,,,
Georgia,2011,86.3,30.4,278,28,262,,,,SE,,,
Hawaii,2011,95.0,29.1,278,30,257,,,,W,,,
Idaho,2011,89.2,26.3,287,37,268,,,,W,,,
Illinois,2011,89.3,36.7,283,33,266,,,,MW,,,
Indiana,2011,88.4,27.0,285,34,265,,,,MW,,,
Iowa,2011,92.6,31.8,285,34,265,,,,MW,,,
Kansas,2011,90.0,33.6,290,41,267,,,,MW,,,
Kentucky,2011,87.6,24.5,282,31,269,,,,SE,,,
Louisiana,2011,85.2,23.5,273,22,255,,,,SE,,,
Maine,2011,93.8,30.9,289,39,270,,,,NE,,,
Maryland,2011,90.1,40.1,288,40,271,,,,SE,,,
Massachusetts,2011,91.3,45.8,299,51,275,,,,NE,,,
Michigan,2011,91.0,29.6,280,31,265,,,,MW,,,
Minnesota,2011,92.8,38.2,295,48,270,,,,MW,,,
Mississippi,2011,84.0,21.4,269,19,254,,,,SE,,,
Missouri,2011,89.9,30.6,282,32,267,,,,MW,,,
Montana,2011,94.1,32.1,293,46,273,,,,W,,,
